Network Group Var,Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming,,,,,
Network Group Var Placeholder,NBC Entertainment,GA Custom,GA Custom,Fire TV,Connected Device," 45,835 ", -   ,38617," 45,835 ",,,,,
Network Group Var Placeholder,USA,GA Custom,GA Custom,Fire TV,Connected Device," 165,906 ", -   ,137877," 165,906 ",,,,,
Network Group Var Placeholder,Bravo,GA Custom,GA Custom,Fire TV,Connected Device," 406,503 ", -   ,341514," 406,503 ",,,,,
Network Group Var Placeholder,E!,GA Custom,GA Custom,Fire TV,Connected Device," 80,220 ", -   ,68619," 80,220 ",,,,,
Network Group Var Placeholder,Syfy,GA Custom,GA Custom,Fire TV,Connected Device," 133,635 ", -   ,108150," 133,635 ",,,,,
Network Group Var Placeholder,Telemundo,GA Custom,GA Custom,Fire TV,Connected Device," 121,712 ", -   ,104046," 121,712 ",,,,,
Network Group Var,Golf Channel,iOS,Mobile Phone,iPhone,Mobile App," 8,130 "," 485,071 ","86,352"," 493,201 ",,,,,
Network Group Var,Golf Channel,iOS,Tablet,iPad,Mobile App," 6,912 "," 198,801 ","40,007"," 205,713 ",,,,,
Network Group Var,Golf Channel,iOS,Media Player,iPod,Mobile App, 17 , 732 ,129, 749 ,,,,,
Network Group Var,Golf Channel,Android,Mobile Phone,Android Phone,Mobile App," 1,827 "," 77,089 ","14,106"," 78,916 ",,,,,
Network Group Var,Golf Channel,Android,Tablet,Android Tablet,Mobile App, 580 ," 19,318 ","3,754"," 19,898 ",,,,,
Network Group Var,NBC Sports,Unknown,Apple TV,Apple TV,Connected Device, 342 ," 1,023 ",646," 1,365 ",,,,,
Network Group Var,NBC Sports,Unknown,Roku,Roku,Connected Device," 1,712 "," 2,699 ","2,005"," 4,411 ",,,,,
Network Group Var,NBC Sports,Unknown,Fire TV,Fire TV,Connected Device, 822 ," 1,315 ","1,050"," 2,137 ",,,,,
Network Group Var,NBC Sports,iOS,Mobile Phone,iPhone,Mobile App," 5,737 "," 107,011 ","42,239"," 112,748 ",,,,,
Network Group Var,NBC Sports,iOS,Tablet,iPad,Mobile App," 1,188 "," 7,728 ","3,582"," 8,916 ",,,,,
Network Group Var,NBC Sports,iOS,Media Player,iPod,Mobile App, 50 , 156 ,85, 206 ,,,,,
Network Group Var,NBC Sports,Android,Mobile Phone,Android Phone,Mobile App," 3,277 "," 138,558 ","32,713"," 141,835 ",,,,,
Network Group Var,NBC Sports,Android,Tablet,Android Tablet,Mobile App, 825 ," 1,332 ","1,058"," 2,157 ",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
